title	release_date	album	lyrics
Superstars Don’t Love		20 Odd Years	michael jackson died today cycles action hideaway news flash loose cash soft core porn orsi lying on the floor where no man has gone before red meats bed sheets born forlorn war torn b boys cybernetic decoys nerdy henchman dirty frenchman worlds on strike underground and transatlantic rumour mill expands the panic run ragged long legged girls on bikes watch me karate kick spin the reversal i got the shit just like in the commercial watch me risque controversial livin life just like in the commercial a step ahead ran beyond pen and paper champion ink and blood sink in mud earn your turn digging deep source obscure what a load of horse manure roxanne roxanne burn burn burn never ending probably starting memories of dolly parton paris nights and paris sights found my flaw goose neck handle bar silver ships of andilar dixie jive sixty five down by law superstars dont love they play this is how we do everyday i feel like a million bucks i feel like a million bucks i feel like a million bucks i feel like a million bucks michael jackson michael jackson michael jackson forever fly severed ties the king of pop will never die michael jackson michael jackson michael jackson forever fly severed ties the king of pop will never die situation guy debord grand wizard theodore distant lover crispin glover everything is fine dollar bill holy grail you cant win only fail over oceans nova scotian every kind combined a lot of noise a little peace circumstance middle east woody guthrie would he trust me ran a fence between sing the words you know the song everything you know is wrong rocket ships apocalypse man against machine b boys warlords outlaws heroes smart girls cowboys poor folks zeroes bookworms weirdos wise ones nomads young punks good guys stick it to the man superstars dont love they play this is how we do everyday flash light last night ass tight thats right making friends by telephone leave the kids the hell alone trouble maker double taker ultra pretty mom imitation spiderman hide the truth inside your hand rural china girls vagina keep the city calm super unapologetic especially precocious form and focus swarm of locust peril of the sun magic words are mine to say lead me not ill find the way masterpiece evangelista barrel of a gun b boys warlords outlaws heroes smart girls cowboys poor folks zeroes bookworms weirdos wise ones nomads young punks good guys stick it to the man superstars dont love they play this is how we do everyday
Stop	2011-01-01	20 Odd Years	stop you need to listen just let me show you and youll see what youre missing just let me show you and youll see what youre missing  youre the girl i was meant for spent some time should have spent more riding a bike with bent forks dont get mixed up with the centaur i cant take my finger off pause scan on tea through my crass claws curse myself coz i cant sleep loner and a rebel with a lost cause  get away ive a lot to lose ive got a little love to give so dont keep pushing pushing pushing pushing me away stop you need to listen  just let me show you and youll see what youre missing just let me show you and youll see what youre missing stop look listen stop  she has the power to enchant him battle of the pretty versus handsome boy that was born with the phantom limb truth of the matter is i cant swim promises go unspoken something deep down is broken been trying to hide my scarred heart what happens next is the hard part  i think the world of you so wake up coz i need to tell you my heart my heart is for you im tired of hearing about you knowing second hand this has gone on way too long why cant we give this thing a chance lets face your heart is hard to get its hard to get its hard to get its hard to get  go on and  stop you need to listen just let me show you and youll see what youre missing just let me show you and youll see what youre missing stop look listen stop x4
Joey Bats		20 Odd Years: Volume 4 - Ostranenie	jose baustia also known as joey bats know the facts big numbers growing stats
Dolores	2011-01-01	20 Odd Years: Volume 4 - Ostranenie	all the world was black and white just a sound stage from the back projecting light god is of the silent age i can see you crying even though i dont hear nothing you will laugh behind the scenes if i had my choice guard us all from the silver screen in your god given voice i can see youre trying on every frame to tell me something  sad eyes misleading advice fear not ill protect you from the bad guys snake charmers gadflies rows of crows youre not suppose to know overhead blows nose toe to toe comes the time goes to prose front row certain closes on the show of shows time will tell truth prevails its a battle to the finish fighting tooth and nail   new heights blue nights catching glimpses of the moonlight fresh start paint the walls of the room white do right see now youre fighting whose fight clever minds never say never cause you might new man loose cannon but my screws tight next style open x file excommunicated hearts in exile jewelry and textile sexy and reckless death wish out of time and breathless wet dreams ripped frames sunday mornings strictly listening to skip james dirt roads brick lanes car crash tree falls about pride outside these walls recall first sight fell hard held cards under the bell jar
Highway 101		Boy-Girl Fight	snakes in the outerfield infield vipers i reached for the blinker and got the windshield wipers theres a plastic bag filled with other plastic bags obstacles fire hydrants kids eating popsicles everyone gets a chance to think at the traffic lights stroke of good luck horrible sacrifice tears of a babysitter the pout of a model saw a kid drinking quantro straight out of the bottle pullin your gun out drawin your knife the worst case of dandruff you ever saw in your life everyones a poet numbers equated saggy old beach ball under inflated sometimes people dont laugh when a jokes told security guard has a drunk in a choke hold listenin for sleighbells watching the whales a girl sent me photos of her crotch in the mail some people only thank god on the fridays ice on the highways the trucks go sideways certain thoughts can send chills through your body i heard the mailman sayin he knew karate smashed up bike on the street makes me wanna cry sausage and eggs and hashbrowns on the side yup when my grandfather drank he drank hard hundred year old coke machine sittin in the junkyard theres a hex on highway 101 newly weds and grandparents the 101 is cursed fishermen and highschool teachers what are you givin yourself all of this pressure for love letters and earrings hidden in the dresser drawer a notice taped to the door from the landlord gettin hit by a car is not the kind of thing you plan for watchin the people its a popular passtime a woman said her hearts been smashed for the last time ticket stubs and birthday cards are sound of the buzzlight a guy just payed for a haircut he doesnt like theres a hex on highway 101 newly weds and grandparents the 101 is cursed fishermen and highschool teachers
Stupid		Boy-Girl Fight	get stupid yall  limited scream men and women are fiending for immediate intimacy with no limitation alas the skirts dont hide it shadows cast behind the bare ass on the dance floor sexual warfare the length of a staircase therefore most of them probably should even be there in the first place unarmed soldiers of glass rubbed shoulders with others who are older more immature than them its disgustingly intriguing to see overachieving creases unleashing themselves on the female species especially when the weather gets warmer and then your whole entire wardrobe is normally informal for your information the hats are wore backwards so are their morals when the girls wear overalls its a sensitive issue involving insecurity maturity levels and lots of toilet tissue cause the girls are desperate but the boys are even hornier the rose smell sweet but the stem is even phonier its a match made in purgatory what more do you want to know get stupid yall the girls get goosebumps and nipples to notice but nobody knows how to communicate its uselessness lies are told with most guys and never body try to disguise their own flaws when the guys go we need females and we read details as card tricks and hard dicks and a beat that goes unf unf unf unf yea unf unf unf unf  the new part of the meat market apart from the darkness is the botching the narcotics to me its the hard rock nobody needs to be told twice theres plenty of cold ice theres tight pants and old spice take shots and roll dice the carpets are crumby with puke coming out of them its putrid and stupid why dont you make a contribution to the clan gathering as a matter a fact what would you do you say this thursday or saturday you thirsty the girls are desperate but the boys are even hornier the rose smell sweat but the phlegm is even phonier its a match made in purgatory what more do you want to know get stupid yall  it smells like everything inside a hideout i doubt anyone really wants to know why who am i figures gracious the bases basically bulging with people indulging in all kinds of fabrics its a magically archaic  of balloons of flesh that defies all logic its just like dodgeball but instead the constants throw around the head of a doll now i dont know what it means but it makes it worth the cost alone even if the overflow of motive testosterone sexual appetites there salty its a circus the circuits are faulty and everybody is uptight with the sweat stains and jet planes and hot dog love songs blistering kisses before its mr and mrs and in the same amount of time it takes to make a sandwich dawg you can probably find someone else for you to take advantage of cause the girls are desperate but the boys are even hornier the rose smell sweet but the stem is even phonier its a match made in purgatory what more do you want to know get stupid yall  x3
January	2004-01-01	Climbing Up a Mountain With a Basket Full of Fruit	now i could hear the coyotes when i laid in a bed its thoughts of running away would invade my head and i would starve myself never lose a pound the pain never goes away it just moves around january sidewalk evergreen battlefield outta the rain with with cuts thatll heal and as the casualties gradually disappear magically wrapped in plastic and trapped in caskets stricken and looking like a victim of a sex crime there is always some more where they came from the next time they used to be pretty now theyre all messed up stressed out and dressed up needle still in her arms stripped to the silver and gold and disregarded along with a card board boxes in the garbage people just walk by with brand new clothes on socks and underwear as all of this goes on carcasses all over the ground and the darkness some of them were drugged and all of them were unplugged and ugly oh my god they call themselves christians i cry from the forest and nobody listens blame it on the rain blame it on the black star but these crimes are committed in your very own backyard and where were the angels when they needed the most of all too far away and too close to call tipped over and broken open wounds untreated dont bother calling an ambulance nones needed its too late forever after everything remains brought a chainsaw massacre now i could hear the coyotes when i laid in a bed its thoughts of running away would invade my head and i would starve myself but never lose a pound the pain never goes away just moves around
Blood, Pt. 2	2009-02-16	Dark Was the Night	youre not bloody swab paradise youre golden stars licked to stick a world with frogs and magic tricks floating logs and scissor kicks and lemonade and sweaty sex hug me like i gave you cheques you kiss me like the upper crust tell me things to make me blush champagne bottle bon voyage a souvenir garage a melody to make me smile not that youve been gone a while my life my life a purple medal eighth place backlit in a trophy case sign that says for little ace supportive like an ankle brace not bloody cotton swabs and lies stolen cheques and empty eyes youre a county fair in july canadian field of wild rye you kiss me like potted plants bite me like fire ants touch me like an old stamp olive oil and seven lamps not stolen cash ill pay you back bloody paradise attack your sunday at the puppy track time to take the long way back sweet as the apple of peru the inklings of the eastern sioux not bloody cotton swabs and lies stolen cheques and empty eyes but rather  you are the blood flowing through my fingers thats what i meant to say blood in my fingertips i couldnt tell you that any other way all through the soil and up in those trees you are the blood that i may see you that i see you youre the blood in me youre on earth though  girl you wake me to the smell of butter sunlight shone through wooden shutters naked sex and cuffed breast early morning back to test pouring rain and rubber suit cotton socks and rubber boots i sprint across the parking lot cause that day we were unprepared dried our socks and on the stairs sound of rain is rain in gutters lightning seven seconds thunder a mild snack late evening hunger dvds and vcrs fish tanks and jelly jars the storm passes the room ours the summer times and you move safety belt in summer cars lightning bugs to die in jars the air conditioner saving grace grass stains and flushed face refreshing like a glass of milk your shaven legs were like silk you kiss me like a bon voyage a secret souvenir collage overalls and water parks t tops and baby sharks dragon rolls and frozen juice making out in photo booths a lovely saturday night alone full of films and baking pies not cotton swabs and bloody lies ill pay you back in plastic eyes  you are the blood flowing through my fingers you are the blood in my fingertips the soil up in those trees like electricity like sound like lights all through the soil in those trees you are the word i shall write you are solitude you are electricity youre light
Feels Like		Dirtbike	she found the lost boy eyes that are crying closes glad to be unhappy boy gives her dying roses ecstatic agony and nights of arousing glories hungry hearts and hands that tell ten thousand stories open wounds and the one word that filed under her endless eyes have known hardship and wild wonder kisses that cure and moments that cured the kiss under a spell and maybe theres no words for this he sees fire and feels new bones grow halfway around the world and only a stones throw deep breath and what it tries to imply a great big smile thats wide as the sky locked in embrace and the threads of the suture this is how it looks when you see your own future it feels like a weapon loaded with ammo just like the pretty song that kills the piano hands that heal invisibility believe under the water the inability to breathe feels like and it feels like x3 almost afraid to say a single word that weighed a ton darkest night off to war afraid of guns handwritten the ones you bleed truly for days like so many empty lockets in the jewelry store bats filled the sky and at last read the headline books that have been all day waiting for bedtime newborn flame anguish that is graphic vulnerable to the wind and on coming traffic one way streets knowing what to look for and seein her sitting on the floor of a bookstore ice has memory watching her undress towers of light so pretty and wondrous promises made and trying to understand laying down in a hidden place and wonderland the making of brand new memories and recallin upside down and the feeling of free falling hands that heal invisibility believe under the water the inability to breathe feels like and it feels like x3 still cant breathe x4 and all girls are called emily
Why So Sad?	2008-01-01	Dirtbike 3	under the bed on the floor through the roof nothing gets thrown away i wish that you knew the truth the passing of hours the hold of distortion the agonies of childhood the gold of your fortune asking permission of the guards of the fable mistakes that ive made on my cards on the table these things happens  why so sad darling one darling one darling one darling one why so sad darling one darling one darling one darling one darling one darling one darling one darling one darling one darling one darling one  unable to see the days we were doubt to blow the way that you look at me sometimes can melt the snow cities destroyed mountain ranges leveled weekly hands where you can see im admitting the devil beat me the emptiness of words the violence of my knife the price of the bad decisions the silence of my life  oh well soon the approach of a cold spell children of nowhere were radio in a hotel forbidden trees everything i did to please watching me go you kill the lights and hid the kiss lost in translation just as became to crime the sun is shining and its raining up at the same time these things happens  why so sad darling one darling one darling one darling one why so sad darling one darling one darling one darling one darling one darling one darling one darling one darling one darling one darling one
Dirtbike 3, Song 6		Dirtbike 3	walked across the bridge in the middle of the night your hands dressed in your pockets and your eyes shut tight you knew without a doubt what you were gonna do and that million dollar smile tucked inside your shoe was a pretty little  and a house with a view she was young easy and so were you but it all seemed so empty and   too you had so much to say but the words were few roadkill on the highway caught in the headlights glare roadkill on the highway now turn your head and stare roadkill on the highway caught in the headlights glare roadkill on the highway you will not be there now had a  bigger  from the wear still you must admit that there was something in the air in the allegheny river it filled your heart with hate but all the way theyre leaving you felt that it might break you knew all the stories like a well worn book how jesus walked on waters and all the blood it took but you always were a drowner your loves filled up with salt but love is not a parable and love is no ones fault roadkill on the highway caught in the headlights glare roadkill on the highway now turn your head and stare roadkill on the highway caught in the headlights glare roadkill on the highway you will not be there chicago is a brawler mighty and strong winter nights above the prairies they can get so long crazy horse and army ghosts they ride the iron range if you listen close you can hear them sing your name in the city of los angeles i lost you there to an autograph and a diamond studded prayer but i dont regret those things you did to me each was just another step toward my getting free roadkill on the highway caught in the headlights glare roadkill on the highway now turn your head and stare roadkill on the highway caught in the headlights glare roadkill on the highway you will not be there
Indestructible Sam		Dirtywork E.P.	well this heres the story of samuel donbay a man like any other at the end of a long day guts and muscles and maybe a little more he worked as a grave digger after the civil war miles around competition burned with the deepest rage the work was hard and sam did it for the cheapest wage seemed that the other mans shoes didnt fit him when he was out working the others were out to get him they called him indestructible sam he promised he would die with a shovel in his hands thats right they called him indestructible sam he promised he would die with a shovel in his hands diggin all day sams pockets got richer but the others were wishing he was out of the picture so late one night some of the competition went to see doctor beauregard a local magician they asked if he could help put things in reverse they pooled all their money for a fifty dollar curse next morning at work was a commotion digging a grave sam heard an explosion followed by a moaning cursing and mumbling from the nearby bushes a figure came stumbling sam shrugged his shoulders and surveyed the damages later dr beauregard was seen wearing bandages worse for wear he wasnt taking suggestion said hed hex anyone that asked him any questions the coast wasnt clear trouble kept lurking the others kept scheming and sam kept working they called him indestructible sam he promised he would die with a shovel in his hands thats right they called him indestructible sam he promised he would die with a shovel in his hands the other gravediggers lamented their blown chance decided to take matters into their own hands thoughts full of poison and making a trap they blew up the shed where sam was taking a nap the others were astonished and totally annoyed cause sam walked away while the shed was destroyed next they tied him up and they swore that they got him when they threw him in a lake and watched him sink to the bottom below and behold and to the others dismay sam was back at work again the very next day they burned his house down to the ground they were possessed and when that didnt work they finally shot him in the chest so hold your head low and fly the flag half mast but it was actually samuel who had the last laugh he recovered again lord be praised he lived to be a hundred and dug the others graves they called him indestructible sam he promised he would die with a shovel in his hands thats right they called him indestructible sam he promised he would die with a shovel in his hands and he did they called him indestructible sam he promised he would die with a shovel in his hands thats right they called him indestructible sam and he died with a shovel in his hands and this is an even true song it was wrote on account of old sam workin so hard and i reckon thats how it ought to be
Heather Nights		Dirtywork E.P.	so im cold and lonesome inside my apartment recording this music just for you this song is called heather nights sepia tone saturday seen a man drown sleepy down underneath dog ran down hookin old school theres gold in them thar hills bourgeois porn stash waist high deep snow skull and crossbones railroad peepshows playing baseball all fucked up on pills showing mussolino red fire fills the sky some say the next door neighbor once killed a guy all kinds of music and nothing else to do bit by a snake throwing rocks accidents happen and no one talks then theres the girl i always wished i knew punk rock country girl feather line memory heart set aflame long lost heather nights you put me to shame punk rock country girl feather line memory we were the same long lost heather nights hallowed be thy name too many funerals names on the guest list home made weaponry the natives are restless pie eating contest yeah those were the days junk store crucifix parking lot kissing  smells like campfire gasoline piss and breast women naked she burned me with her gaze punk rock country girl feather line memory heart set aflame long lost heather nights you put me to shame punk rock country girl feather line memory we were the same long lost heather nights hallowed be thy name hangmans link hells angels hq roger stevens i still hate you far away coyote sings the blues the longest train i ever saw abandoned building rooster claw kids on bikes and bad luck brings the news well i found religion in her bedroom parts of me that will be dead soon the number thirty three and let her go chainsaw violence pretty dresses secret wishes shitty messes and the girl that was impossible to know punk rock country girl feather line memory heart set aflame long lost heather nights you put me to shame punk rock country girl feather line memory we were the same long lost heather nights hallowed be thy name
Pen Thief		Giga Single	pen thief i sit with my back to the television thinking deeply watching the ink seep into the page the wars i wage are fought to the finish with written symbols and nimble fingers im hooked up to poison iv and my pulse is irregular my body convulses and pain hides behind my eyes subtle floods of fluid collect on the floor in the form of blood puddles my lungs are sponges and this pen is a tunnel for the flesh that i squeeze into the mouth of my funnel i whisper my reports to the candles in private and try to protect my property from pirates properly when and if the plan of attack hatches parts of my brain are stained by black patches and i calculate the extent of my sickness by sub dividing the depths of despair by thickness my ideas incubate under my tongue for weeks are born and take form in my cheeks when i say when and where then measily crumbs become banquets easily blankets wrap themselves around shivering swimmers a promise sits on the burner and simmers i stroke the breast of yesterday morning whirlwinds listening for the early warning system applying pressure to joints to crack its sockets and shove the stolen pens into my jacket pockets four in the morning biting through pencils and makeshift writing utensils because im a pen thief i sit with my back to the television thinking deeply watching the ink seep into the page the wars i wage are fought to the finish with written symbols and nimble fingers pen thief i sit with my back to the television thinking deeply watching the ink seep into the page the wars i wage are fought to the finish with written symbols and nimble fingers all i need is a pen to be self sufficient watch my language when the hands reach the twelfth position i rob from the blind when i got no choice and think to myself in a robot voice my hard covered rhyme book complete with gold trimming to write in with pens that i take from old women even if it means a black eye and a swelled lip it goes with the territory for a felt tippen theif i sit with my back to the television thinking deeply watching the ink seep into the page the wars i wage are fought to the finish with written symbols and nimble fingers because im a pen thief i sit with my back to the television thinking deeply watching the ink seep into the page the wars i wage are fought to the finish with written symbols and nimble fingers pen thief
